Amount (INR),Payment Mode,To/Received By,Sender A/C,Receiver A/C,Sender Location,Receiver Location,Transaction Date,Transaction Time,isFraud
2970.2,NEFT,Ola,ACC123456,ACC729229,"Kolkata, West Bengal, 700001","
",5/24/2024,6:10,0
1934.68,Card,LIC Insurance,ACC123456,ACC568210,"Kolkata, West Bengal, 700001","Lucknow, Uttar Pradesh, 226001",10/6/2024,20:27,0
388.57,Card,Local Kirana,ACC123456,ACC959026,"Kolkata, West Bengal, 700001","
",4/14/2023,5:07,0
268.74,Cash Deposit,School Fees,ACC123456,ACC924199,"Kolkata, West Bengal, 700001","
",6/9/2024,23:45,0
3510.28,NEFT,Amazon India,ACC123456,ACC200662,"Kolkata, West Bengal, 700001","Hyderabad, Telangana, 500001",11/2/2024,7:05,0
1268.04,Card,Ola,ACC123456,ACC422973,"Kolkata, West Bengal, 700001","Bengaluru, Karnataka, 560001",3/3/2025,20:19,0
1107.26,Wallet,Big Bazaar,ACC123456,ACC865710,"Kolkata, West Bengal, 700001","Hyderabad, Telangana, 500001",8/24/2024,2:34,0
339.28,Cash Deposit,School Fees,ACC123456,ACC559785,"Kolkata, West Bengal, 700001","Lucknow, Uttar Pradesh, 226001",9/14/2023,3:51,0
1758.18,NEFT,Big Bazaar,ACC123456,ACC810196,"Kolkata, West Bengal, 700001","Bengaluru, Karnataka, 560001",6/9/2023,4:38,0
5066.95,Wallet,IRCTC,ACC123456,ACC347241,"Kolkata, West Bengal, 700001","Mumbai, Maharashtra, 400001",10/19/2024,12:31,0
134.66,Wallet,Ola,ACC123456,ACC474836,"Kolkata, West Bengal, 700001","
",11/11/2023,17:36,0
106.21,NEFT,Electricity Board,ACC123456,ACC623438,"Kolkata, West Bengal, 700001","Hyderabad, Telangana, 500001",12/9/2023,4:22,0
686.9,IMPS,HDFC Bank,ACC123456,ACC799182,"Delhi, Delhi, 110001","Bengaluru, Karnataka, 560001",2/14/2025,4:07,0
4198.5,Unknown,Ola,ACC123456,ACC647242,"Bengaluru, Karnataka, 560001","
",2/22/2024,14:30,0
1514.01,IMPS,Electricity Board,ACC123456,ACC528897,"Kolkata, West Bengal, 700001","Pune, Maharashtra, 411001",4/28/2024,1:34,0
3682.91,NEFT,Local Kirana,ACC123456,ACC476206,"Delhi, Delhi, 110001","Hyderabad, Telangana, 500001",9/2/2024,6:13,0
2170.71,Wallet,IRCTC,ACC123456,ACC211448,"Bengaluru, Karnataka, 560001","
",6/24/2024,1:43,0
3077.52,UPI,Swiggy,ACC123456,ACC367718,"Kolkata, West Bengal, 700001","
",11/6/2023,11:49,0
1836.37,Card,Jio,ACC123456,ACC617607,"Kolkata, West Bengal, 700001","Ahmedabad, Gujarat, 380001",11/26/2024,0:37,0
1207.4,Wallet,SBI,ACC123456,ACC676446,"Kolkata, West Bengal, 700001","Mumbai, Maharashtra, 400001",4/20/2024,21:39,0
61.4,UPI,Medical Store,ACC123456,ACC331420,"Kolkata, West Bengal, 700001","Mumbai, Maharashtra, 400001",8/10/2023,14:33,0
444.4,UPI,Jio,ACC123456,ACC502069,"Kolkata, West Bengal, 700001","Chennai, Tamil Nadu, 600001",8/24/2023,11:33,0
333.98,Wallet,Electricity Board,ACC123456,ACC970216,"Kolkata, West Bengal, 700001","
",11/21/2023,13:32,0
772.54,NEFT,Big Bazaar,ACC123456,ACC918166,"Kolkata, West Bengal, 700001","
",12/22/2023,22:29,0
270.85,Wallet,Swiggy,ACC123456,ACC936466,"Kolkata, West Bengal, 700001","Hyderabad, Telangana, 500001",1/24/2025,12:47,0
2017.13,IMPS,Reliance Fresh,ACC123456,ACC159734,"Kolkata, West Bengal, 700001","
",4/14/2024,23:44,0
2434.79,UPI,Electricity Board,ACC123456,ACC931443,"Kolkata, West Bengal, 700001","
",4/15/2024,2:21,0
1296.67,Wallet,SBI,ACC123456,ACC283510,"Kolkata, West Bengal, 700001","Delhi, Delhi, 110001",8/27/2024,11:14,0
169.25,UPI,Airtel,ACC123456,ACC211593,"Kolkata, West Bengal, 700001","Kolkata, West Bengal, 700001",9/4/2023,7:44,0
246.54,Cash Deposit,Flipkart,ACC123456,ACC331933,"Kolkata, West Bengal, 700001","
",9/13/2023,22:01,0
278.9,UPI,Amazon India,ACC123456,ACC251791,"Kolkata, West Bengal, 700001","Lucknow, Uttar Pradesh, 226001",9/7/2023,19:42,0
1715.74,NEFT,Local Kirana,ACC123456,ACC366415,"Kolkata, West Bengal, 700001","Ahmedabad, Gujarat, 380001",7/22/2023,1:53,0
1210.88,Cash Deposit,Jio,ACC123456,ACC723314,"Kolkata, West Bengal, 700001","Mumbai, Maharashtra, 400001",7/14/2023,19:02,0
2764.34,IMPS,Rent Transfer,ACC123456,ACC780723,"Kolkata, West Bengal, 700001","Kolkata, West Bengal, 700001",12/28/2023,23:13,0
79.06,UPI,Local Kirana,ACC123456,ACC876488,"Kolkata, West Bengal, 700001","Jaipur, Rajasthan, 302001",10/10/2024,11:28,0
2101.84,UPI,HDFC Bank,ACC123456,ACC514392,"Kolkata, West Bengal, 700001","Ahmedabad, Gujarat, 380001",8/20/2023,6:23,0
2469.83,Wallet,Airtel,ACC123456,ACC843623,"Kolkata, West Bengal, 700001","
",10/2/2024,18:14,0
1416.16,IMPS,IRCTC,ACC123456,ACC983393,"Kolkata, West Bengal, 700001","Ahmedabad, Gujarat, 380001",3/6/2024,12:06,0
81.6,Cash Deposit,HDFC Bank,ACC123456,ACC758148,"Kolkata, West Bengal, 700001","Mumbai, Maharashtra, 400001",9/22/2023,11:38,0
578.19,IMPS,Rent Transfer,ACC123456,ACC494766,"Pune, Maharashtra, 411001","
",4/4/2024,18:43,0
1859.5,UPI,SBI,ACC123456,ACC991169,"Kolkata, West Bengal, 700001","Delhi, Delhi, 110001",4/10/2025,6:22,0
786.81,UPI,Medical Store,ACC123456,ACC392007,"Kolkata, West Bengal, 700001","Delhi, Delhi, 110001",12/12/2024,19:53,0
1249.48,Cash Deposit,SBI,ACC123456,ACC197265,"Kolkata, West Bengal, 700001","Chennai, Tamil Nadu, 600001",12/11/2023,13:24,0
377.92,IMPS,Paytm Wallet,ACC123456,ACC422445,"Kolkata, West Bengal, 700001","Kolkata, West Bengal, 700001",6/2/2024,15:51,0
